iter	Logloss
0	0.6538862579
1	0.6185563889
2	0.5926927317
3	0.5687041064
4	0.5483882327
5	0.5282262062
6	0.5072353033
7	0.4895539909
8	0.4722125763
9	0.4568864048
10	0.4413490775
11	0.4272540046
12	0.4147196838
13	0.4056063928
14	0.3953913304
15	0.3847570315
16	0.3741039026
17	0.3653856073
18	0.356002282
19	0.3474399658
20	0.3408799441
21	0.3352425623
22	0.3301131823
23	0.3245929258
24	0.3206565281
25	0.3154391605
26	0.3099607663
27	0.3067958986
28	0.3014896069
29	0.2980536084
30	0.2946972092
31	0.2898488139
32	0.2868350098
33	0.2845709485
34	0.281948314
35	0.279492492
36	0.2778388986
37	0.275038599
38	0.2732366958
39	0.2719416084
40	0.2699018991
41	0.2682731933
42	0.2652684364
43	0.2623048374
44	0.2605309727
45	0.2591084905
46	0.2571962699
47	0.2560064428
48	0.2546075547
49	0.2532088749
50	0.2518337718
51	0.2498255816
52	0.2484979392
53	0.2458462278
54	0.2444694692
55	0.2433533022
56	0.24226627
57	0.2412735495
58	0.2399504859
59	0.238085258
60	0.2366843683
61	0.2358137775
62	0.2348194935
63	0.2339608599
64	0.2310475019
65	0.2304638498
66	0.2289260778
67	0.228366957
68	0.2260120813
69	0.2249834092
70	0.2245250794
71	0.223330891
72	0.2226946199
73	0.2221950257
74	0.2206776979
75	0.2198714017
76	0.2188215872
77	0.2182562167
78	0.2176772802
79	0.2170753826
80	0.2166668558
81	0.2159583162
82	0.2152077061
83	0.2146217311
84	0.2142032604
85	0.2138054188
86	0.2134642233
87	0.2130497692
88	0.2122116643
89	0.2115577446
90	0.2106193434
91	0.2101248639
92	0.2085493063
93	0.2071188581
94	0.2067320089
95	0.2063615569
96	0.2060102061
97	0.2057111549
98	0.2051173829
99	0.2048170351
100	0.2037715498
101	0.2032230449
102	0.2027567647
103	0.2024099434
104	0.2020696207
105	0.2013506313
106	0.2007186814
107	0.200162223
108	0.1994938205
109	0.19929455
110	0.1991320222
111	0.1988736798
112	0.1985662075
113	0.1982342414
114	0.1971130157
115	0.1964163214
116	0.1957421495
117	0.1954501314
118	0.1948089305
119	0.1944854593
120	0.1942010356
121	0.1935723574
122	0.1927080336
123	0.192320109
124	0.1920882332
125	0.1916117949
126	0.1913906209
127	0.1908672803
128	0.1904646976
129	0.1901851834
130	0.1894463451
131	0.1891152032
132	0.1888124695
133	0.1884849768
134	0.1882156681
135	0.1878985027
136	0.1876415498
137	0.187075576
138	0.1868492041
139	0.1861865278
140	0.1860316084
141	0.1857421626
142	0.185524519
143	0.1847908173
144	0.1846305775
145	0.1844450127
146	0.1842604935
147	0.1840178898
148	0.1834943394
149	0.183271276
150	0.1828236925
151	0.1826266741
152	0.1824202789
153	0.1822818394
154	0.1821211916
155	0.1817583039
156	0.1813137641
157	0.18115208
158	0.1809922696
159	0.1806477916
